City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gembu,6.7,11.2667,64.63,95,100,3.09,NG,1723461810
1,yellowknife,62.456,-114.3525,68.41,74,100,6.91,CA,1723461811
2,margaret river,-33.95,115.0667,59.34,57,95,19.08,AU,1723461813
3,darwin,-12.4611,130.8418,76.98,61,0,5.75,AU,1723461814
4,bilibino,68.0546,166.4372,47.91,76,61,5.37,RU,1723461815
5,blackmans bay,-43.0167,147.3167,47.73,81,98,1.01,AU,1723461816
6,whakatane,-37.9585,176.9854,49.51,81,78,5.99,NZ,1723461817
7,invercargill,-46.4,168.35,46.02,74,78,3.0,NZ,1723461818
8,sao jose da coroa grande,-8.8978,-35.1478,79.7,67,35,11.34,BR,1723461819
9,kailua-kona,19.6406,-155.9956,74.28,87,96,1.01,US,1723461820
10,beira,-19.8436,34.8389,82.49,65,0,9.22,MZ,1723461821
11,edinburgh of the seven seas,-37.0676,-12.3116,53.06,89,77,46.64,SH,1723461822
12,avarua,-21.2078,-159.775,66.25,82,20,3.44,CK,1723461602
13,grytviken,-54.2811,-36.5092,15.17,69,96,6.87,GS,1723461824
14,udachny,66.4167,112.4,53.83,65,100,17.81,RU,1723461825
15,port-aux-francais,-49.35,70.2167,38.39,89,88,45.79,TF,1723461826
16,vorgashor,67.5833,63.95,64.04,43,99,14.85,RU,1723461827
17,ilulissat,69.2167,-51.1,57.22,38,20,16.11,GL,1723461828
18,sinop,41.7711,34.8709,78.44,53,0,13.51,TR,1723461829
19,alice springs,-23.7,133.8833,56.75,47,0,0.0,AU,1723461830
20,lihue,21.9789,-159.3672,78.39,81,75,13.8,US,1723461831
21,kerikeri,-35.2268,173.9474,55.9,84,76,9.37,NZ,1723461833
22,papatowai,-46.5619,169.4708,44.82,81,94,11.43,NZ,1723461834
23,la gi,10.6667,107.7833,82.31,84,82,11.07,VN,1723461835
24,paraiso,9.8383,-83.8656,61.0,96,38,2.37,CR,1723461836
25,arauca,7.0847,-70.7591,75.2,100,58,1.14,CO,1723461544
26,adamstown,-25.066,-130.1015,66.52,61,90,20.56,PN,1723461838
27,howrah,22.5892,88.3103,89.6,70,75,11.5,IN,1723461839
28,wailua homesteads,22.0669,-159.378,77.79,88,75,13.8,US,1723461840
29,ermelo,-26.5333,29.9833,68.38,14,0,6.11,ZA,1723461667
30,whitehorse,60.7161,-135.0538,54.37,66,75,18.41,CA,1723461842
31,puerto rico,-26.796,-55.024,42.12,92,4,1.34,AR,1723461843
32,hermanus,-34.4187,19.2345,58.64,62,97,9.06,ZA,1723461844
33,juan griego,11.0817,-63.9655,78.93,89,76,1.14,VE,1723461845
34,colonia,50.9333,6.95,90.45,54,0,11.5,DE,1723461846
35,punta arenas,-53.15,-70.9167,37.51,93,100,9.22,CL,1723461711
36,bredasdorp,-34.5322,20.0403,60.48,57,81,6.87,ZA,1723461730
37,stranraer,54.9023,-5.0273,61.21,84,86,12.59,GB,1723461849
38,arkalyk,50.2486,66.9114,79.93,31,62,12.28,KZ,1723461851
39,antonio enes,-16.2325,39.9086,83.21,53,1,12.53,MZ,1723461852
40,cill airne,52.05,-9.5167,64.45,68,75,11.5,IE,1723461853
41,petropavlovsk-kamchatsky,53.0452,158.6483,52.39,100,100,6.71,RU,1723461854
42,nyandoma,61.669,40.1991,61.97,81,100,5.23,RU,1723461856
43,benguela,-12.5763,13.4055,75.24,68,11,7.9,AO,1723461857
44,muynoq,43.7683,59.0214,91.85,23,42,17.85,UZ,1723461859
45,novyy urengoy,66.0833,76.6333,58.32,82,100,3.29,RU,1723461860
